household_key,recency,frequency,monetary,avg_basket,active_days,tenure_days,purchase_rate,avg_items_per_basket,max_items_per_basket,trips_morning,trips_afternoon,trips_evening,unique_stores_visited,top_store_share,coupons_redeemed,coupon_redemption_rate,was_targeted_by_campaign,pct_spend_on_discount,private_label_ratio,top_department,dept_diversity,commodity_diversity,unique_products,return_rate,last_purchase_day,churned,AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,has_demographics,recency_log,frequency_log,monetary_log,avg_basket_log,purchase_rate_log,avg_items_per_basket_log,coupon_redemption_rate_log
1,1,72,3693.77,51.30236111111112,66,570,0.12631578947368421,23.916666666666668,62,27,36,9,2,0.9861111111111112,5.0,0.06944444444444445,1,0.15463924603955637,0.12371838687628162,GROCERY,12,123,586,0.23255813953488372,706,0,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1,0.6931471805599453,4.290459441148391,8.214673585166167,3.957041515579786,0.11895194286136535,3.215536923602686,0.06713930283762855
2,1,43,1740.67,40.48069767441861,43,518,0.08301158301158301,16.767441860465116,68,3,17,23,5,0.5813953488372093,0.0,0.0,1,0.1526576350723128,0.22653721682847897,GROCERY,11,136,488,0.044444444444444446,668,0,,,,,,,,0,0.6931471805599453,3.784189633918261,7.462599702038669,3.725228202757455,0.07974566326321327,2.877367673472958,0.0
3,45,44,2554.98,58.067727272727275,43,508,0.08661417322834646,192.54545454545453,6949,1,29,14,3,0.8863636363636364,0.0,0.0,1,0.21795503588864573,0.1850574712643678,GROCERY,11,108,489,0.02127659574468085,703,0,,,,,,,,0,3.828641396489095,3.8066624897703196,7.846190990740678,4.07868470542621,0.08306659869861341,5.265512392095109,0.0
4,4,29,1175.16,40.52275862068966,29,517,0.05609284332688588,12.89655172413793,53,3,14,12,6,0.6896551724137931,0.0,0.0,1,0.09039119463752186,0.14625850340136054,GROCERY,9,61,158,0.03333333333333333,627,0,,,,,,,,0,1.6094379124341003,3.4011973816621555,7.070010173625778,3.7262416774185985,0.05457610123647591,2.631640731960209,0.0
5,32,38,749.09,19.712894736842106,31,536,0.0708955223880597,6.368421052631579,22,2,15,21,2,0.9473684210526315,0.0,0.0,0,0.1364160383666505,0.2191780821917808,GROCERY,9,75,196,0.0,703,0,,,,,,,,0,3.4965075614664802,3.6635616461296463,6.620193199330932,3.0307564404753475,0.06849523524876443,1.9972034434428638,0.0
6,1,215,5301.47,24.657999999999998,193,503,0.4274353876739563,439.0604651162791,14638,33,109,73,12,0.5116279069767442,0.0,0.0,1,0.12042519797388884,0.2447685478757134,GROCERY,17,145,713,0.04,707,0,,,,,,,,0,0.6931471805599453,5.375278407684165,8.575928028714205,3.2448554138271484,0.35587939894848497,6.086912138189761,0.0
7,7,42,2420.12,57.62190476190476,42,598,0.07023411371237458,25.714285714285715,66,2,24,16,2,0.9285714285714286,0.0,0.0,1,0.1229288375396837,0.3867713004484305,GROCERY,11,138,639,0.11864406779661017,709,0,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,1,2.0794415416798357,3.7612001156935624,7.79198552200461,4.0711084281343215,0.06787742240308581,3.2851984677992734,0.0
8,11,96,4387.35,45.7015625,86,556,0.17266187050359713,706.1354166666666,13552,20,43,33,3,0.9270833333333334,1.0,0.010416666666666666,1,0.16284567784627887,0.2214941022280472,GROCERY,19,173,1042,0.13274336283185842,706,0,25-34,U,25-34K,Unknown,2 Adults Kids,3,1,1,2.4849066497880004,4.574710978503383,8.386708581204195,3.8437776223592484,0.1592762676760706,6.561222184566545,0.010362787035546583
9,3,14,622.38,44.45571428571429,14,517,0.027079303675048357,20.285714285714285,79,3,5,6,3,0.8571428571428571,0.0,0.0,0,0.19514276846679082,0.28823529411764703,GROCERY,8,66,153,0.05,689,0,,,,,,,,0,1.3862943611198906,2.70805020110221,6.4351562846883406,3.816738539578929,0.026719146733509704,3.0580361568901457,0.0
10,124,7,163.94,23.419999999999998,3,507,0.013806706114398421,10.714285714285714,43,0,5,2,2,0.5714285714285714,0.0,0.0,0,0.08704126524475135,0.22,GROCERY,8,29,46,0.0,685,0,,,,,,,,0,4.8283137373023015,2.0794415416798357,5.105581771405209,3.1954024686825586,0.013712261863981945,2.46080909820894,0.0
