household_key,recency,frequency,monetary,avg_basket,active_days,tenure_days,purchase_rate,avg_items_per_basket,max_items_per_basket,trips_morning,trips_afternoon,trips_evening,unique_stores_visited,top_store_share,coupons_redeemed,coupon_redemption_rate,was_targeted_by_campaign,pct_spend_on_discount,private_label_ratio,top_department,dept_diversity,commodity_diversity,unique_products,return_rate,last_purchase_day,churned,AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,has_demographics,recency_log,frequency_log,monetary_log,avg_basket_log,purchase_rate_log,avg_items_per_basket_log,coupon_redemption_rate_log,cluster,segment_name
1,1,72,3693.77,51.30236111111112,66,570,0.1263157894736842,23.916666666666668,62.0,27,36,9,2,0.9861111111111112,5.0,0.0694444444444444,1,0.1546392460395563,0.1237183868762816,GROCERY,12,123,586,0.2325581395348837,706,0,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1,0.6931471805599453,4.290459441148391,8.214673585166167,3.957041515579786,0.1189519428613653,3.215536923602686,0.0671393028376285,3,High-Value Deal Seekers
2,1,43,1740.67,40.48069767441861,43,518,0.083011583011583,16.767441860465116,68.0,3,17,23,5,0.5813953488372093,0.0,0.0,1,0.1526576350723128,0.2265372168284789,GROCERY,11,136,488,0.0444444444444444,668,0,,,,,,,,0,0.6931471805599453,3.784189633918261,7.462599702038669,3.725228202757455,0.0797456632632132,2.877367673472958,0.0,2,Occasional Shoppers
3,45,44,2554.98,58.06772727272728,43,508,0.0866141732283464,192.54545454545453,6949.0,1,29,14,3,0.8863636363636364,0.0,0.0,1,0.2179550358886457,0.1850574712643678,GROCERY,11,108,489,0.0212765957446808,703,0,,,,,,,,0,3.828641396489095,3.80666248977032,7.846190990740678,4.07868470542621,0.0830665986986134,5.265512392095109,0.0,2,Occasional Shoppers
4,4,29,1175.16,40.52275862068966,29,517,0.0560928433268858,12.89655172413793,53.0,3,14,12,6,0.6896551724137931,0.0,0.0,1,0.0903911946375218,0.1462585034013605,GROCERY,9,61,158,0.0333333333333333,627,0,,,,,,,,0,1.6094379124341005,3.4011973816621555,7.070010173625778,3.7262416774185994,0.0545761012364759,2.631640731960209,0.0,2,Occasional Shoppers
5,32,38,749.09,19.712894736842102,31,536,0.0708955223880597,6.368421052631579,22.0,2,15,21,2,0.9473684210526316,0.0,0.0,0,0.1364160383666505,0.2191780821917808,GROCERY,9,75,196,0.0,703,0,,,,,,,,0,3.49650756146648,3.6635616461296463,6.620193199330932,3.0307564404753475,0.0684952352487644,1.997203443442864,0.0,1,Churn Risk
6,1,215,5301.47,24.658,193,503,0.4274353876739563,439.0604651162791,14638.0,33,109,73,12,0.5116279069767442,0.0,0.0,1,0.1204251979738888,0.2447685478757134,GROCERY,17,145,713,0.04,707,0,,,,,,,,0,0.6931471805599453,5.375278407684165,8.575928028714205,3.2448554138271484,0.3558793989484849,6.086912138189761,0.0,0,Premium Loyalists
7,7,42,2420.12,57.62190476190476,42,598,0.0702341137123745,25.714285714285715,66.0,2,24,16,2,0.9285714285714286,0.0,0.0,1,0.1229288375396837,0.3867713004484305,GROCERY,11,138,639,0.1186440677966101,709,0,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,1,2.079441541679836,3.7612001156935615,7.79198552200461,4.0711084281343215,0.0678774224030858,3.2851984677992734,0.0,2,Occasional Shoppers
8,11,96,4387.35,45.7015625,86,556,0.1726618705035971,706.1354166666666,13552.0,20,43,33,3,0.9270833333333334,1.0,0.0104166666666666,1,0.1628456778462788,0.2214941022280472,GROCERY,19,173,1042,0.1327433628318584,706,0,25-34,U,25-34K,Unknown,2 Adults Kids,3,1,1,2.4849066497880004,4.574710978503383,8.386708581204195,3.843777622359248,0.1592762676760706,6.561222184566545,0.0103627870355465,0,Premium Loyalists
9,3,14,622.38,44.45571428571429,14,517,0.0270793036750483,20.285714285714285,79.0,3,5,6,3,0.8571428571428571,0.0,0.0,0,0.1951427684667908,0.288235294117647,GROCERY,8,66,153,0.05,689,0,,,,,,,,0,1.3862943611198906,2.70805020110221,6.4351562846883406,3.816738539578929,0.0267191467335097,3.0580361568901457,0.0,1,Churn Risk
10,124,7,163.94,23.42,3,507,0.0138067061143984,10.714285714285714,43.0,0,5,2,2,0.5714285714285714,0.0,0.0,0,0.0870412652447513,0.22,GROCERY,8,29,46,0.0,685,0,,,,,,,,0,4.8283137373023015,2.079441541679836,5.105581771405209,3.1954024686825586,0.0137122618639819,2.46080909820894,0.0,1,Churn Risk
11,209,5,33.39,6.678,5,511,0.009784735812133,4.0,8.0,2,2,1,1,1.0,0.0,0.0,0,0.2474645030425963,0.3888888888888889,GROCERY,6,14,17,0.0,412,1,,,,,,,,0,5.3471075307174685,1.791759469228055,3.537765824444175,2.038359096578606,0.0097371752778583,1.6094379124341005,0.0,1,Churn Risk
12,117,7,266.21,38.03000000000001,7,549,0.0127504553734061,14.714285714285714,36.0,5,1,1,2,0.7142857142857143,0.0,0.0,0,0.1093974775015891,0.25,GROCERY,7,48,75,0.0,504,1,,,,,,,,0,4.770684624465665,2.079441541679836,5.588034866111888,3.664330581192524,0.0126698527410517,2.7545702167371027,0.0,1,Churn Risk
13,0,229,11120.26,48.560087336244536,168,520,0.4403846153846154,6827.46288209607,30056.519999999997,97,82,50,1,1.0,21.0,0.0917030567685589,1,0.1244255161005091,0.3106846473029045,GROCERY,15,155,902,0.16,709,0,25-34,U,75-99K,Homeowner,2 Adults Kids,4,2,1,0.0,5.438079308923196,9.316613870738072,3.903185818991926,0.3649101719417464,8.828854873370538,0.0877389143080068,3,High-Value Deal Seekers
14,1,128,2311.41,18.057890625,88,617,0.2074554294975688,922.578125,10757.0,16,41,65,15,0.4140625,3.0,0.0234375,1,0.1857333089084914,0.3227513227513227,GROCERY,11,106,500,0.1071428571428571,704,0,,,,,,,,0,0.6931471805599453,4.859812404361672,7.746045549710301,2.947481221849816,0.1885151944741716,6.828255392704405,0.0231670592815343,0,Premium Loyalists
15,1,39,795.6,20.4,36,599,0.0651085141903172,9.948717948717947,60.0,9,16,13,5,0.6923076923076923,0.0,0.0,0,0.1537340580558008,0.3143939393939394,GROCERY,11,84,208,0.0909090909090909,705,0,,,,,,,,0,0.6931471805599453,3.688879454113936,6.680352670747544,3.0633909220278057,0.0630766852293405,2.393222367098978,0.0,1,Churn Risk
16,8,93,1486.02,15.978709677419356,85,523,0.1778202676864244,872.9677419354839,11613.0,33,52,8,2,0.946236559139785,0.0,0.0,1,0.1027641255388776,0.217391304347826,GROCERY,10,108,276,0.0,690,0,45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown,1,2.19722457733622,4.543294782270004,7.304529396268832,2.8319601872666285,0.1636654994685968,6.773043466433762,0.0,2,Occasional Shoppers
17,11,118,4870.44,41.27491525423729,95,597,0.1976549413735343,2430.5254237288136,16998.0,41,69,8,4,0.9322033898305084,0.0,0.0,1,0.1906058939174625,0.3472367049009385,GROCERY,12,122,420,0.0241935483870967,689,0,65+,B,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,1,2.4849066497880004,4.77912349311153,8.491144860254598,3.744193890151938,0.1803654293014055,7.796274085774706,0.0,2,Occasional Shoppers
18,3,126,5561.2,44.13650793650794,103,527,0.239089184060721,1450.071428571429,15005.0,35,78,13,7,0.4444444444444444,8.0,0.0634920634920634,1,0.1344988101926569,0.2604712041884817,GROCERY,11,135,579,0.1411042944785276,711,0,45-54,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,1,1.3862943611198906,4.844187086458591,8.623748992435813,3.809691407663796,0.2143765807350687,7.280057478806569,0.0615578929994333,3,High-Value Deal Seekers
19,0,360,9823.82,27.28838888888889,249,548,0.656934306569343,1170.2472222222225,15332.0,56,223,81,9,0.3083333333333333,1.0,0.0027777777777777,1,0.2128261054210544,0.2732485664422837,GROCERY,17,169,1639,0.0570071258907363,711,0,35-44,B,15-24K,Unknown,Single Female,1,None/Unknown,1,0.0,5.8888779583328805,9.192667115958953,3.342451433846911,0.5049690916532777,7.065824461914577,0.0027739268827252,0,Premium Loyalists
20,0,319,6168.36,19.336551724137934,247,540,0.5907407407407408,1249.2068965517242,16431.0,74,170,73,9,0.6300940438871473,0.0,0.0,1,0.1012047350107534,0.4445100354191263,GROCERY,12,108,414,0.0258397932816537,711,0,25-34,A,75-99K,Renter,2 Adults No Kids,2,None/Unknown,1,0.0,5.768320995793772,8.727350383804593,3.012419844494985,0.4641997824259353,7.131064333841259,0.0,0,Premium Loyalists
21,17,25,789.07,31.562800000000003,21,549,0.0455373406193078,1550.0,10004.0,2,8,15,7,0.32,0.0,0.0,0,0.1433580858085808,0.5127118644067796,GROCERY,9,79,196,0.1481481481481481,682,0,,,,,,,,0,2.8903717578961645,3.258096538021482,6.672121549130583,3.483170532522969,0.0445309548100357,7.346655163176539,0.0,1,Churn Risk
22,0,110,5204.3,47.31181818181818,98,596,0.1845637583892617,3098.409090909091,28092.0,34,63,13,5,0.4727272727272727,25.0,0.2272727272727272,1,0.1146047765033327,0.2023988005997001,GROCERY,15,132,616,0.2058823529411764,711,0,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,1,0.0,4.709530201312334,8.557432616275737,3.8776762135819385,0.1693745704278923,8.038966756467953,0.2047944126460132,3,High-Value Deal Seekers
23,0,97,2844.06,29.320206185567013,88,512,0.189453125,1724.5876288659797,15841.0,20,10,65,4,0.9587628865979382,0.0,0.0,1,0.0782558531463092,0.1652173913043478,GROCERY,11,126,416,0.009090909090909,711,0,,,,,,,,0,0.0,4.584967478670572,7.95333943596898,3.4118143610665834,0.1734936426703892,7.453322925870979,0.0,2,Occasional Shoppers
24,2,54,1317.72,24.40222222222222,50,562,0.096085409252669,12.166666666666666,67.0,11,23,19,2,0.9629629629629628,0.0,0.0,0,0.2005969497324646,0.4045454545454545,GROCERY,9,86,276,0.0135135135135135,709,0,,,,,,,,0,1.0986122886681098,4.007333185232471,7.184416848150453,3.234836659261413,0.0917451136398287,2.5776883832389665,0.0,1,Churn Risk
25,3,79,2803.66,35.489367088607594,73,610,0.1295081967213114,191.16455696202533,14007.0,11,29,39,5,0.569620253164557,0.0,0.0,1,0.1517581067752612,0.3228699551569506,GROCERY,12,111,414,0.0106382978723404,705,0,35-44,U,50-74K,Unknown,Unknown,1,None/Unknown,1,1.3862943611198906,4.382026634673881,7.9390375984888015,3.5970209055077884,0.1217823138463016,5.258352072465693,0.0,2,Occasional Shoppers
26,0,92,1590.0,17.282608695652176,85,571,0.1611208406304728,9.304347826086955,68.0,75,12,5,2,0.6739130434782609,0.0,0.0,1,0.1400245552737047,0.4439461883408072,GROCERY,11,105,408,0.0,705,0,,,,,,,,0,0.0,4.532599493153256,7.372118028337787,2.905950263483853,0.1493857805298522,2.3325659252059814,0.0,2,Occasional Shoppers
27,0,328,4774.18,14.555426829268294,306,586,0.5597269624573379,7.564024390243903,64.0,11,62,255,15,0.4359756097560975,0.0,0.0,1,0.0799492777084007,0.1412345679012345,GROCERY,10,88,498,0.0864197530864197,711,0,45-54,U,25-34K,Probable Renter,Single Female,1,None/Unknown,1,0.0,5.796057750765372,8.47118694853942,2.744409569977521,0.4445107818771374,2.1475702187201,0.0,0,Premium Loyalists
28,0,113,1869.58,16.54495575221239,108,506,0.2233201581027667,290.0,14179.0,4,16,88,7,0.9026548672566372,0.0,0.0,1,0.1218795060754226,0.1070780399274047,GROCERY,12,99,323,0.032,702,0,,,,,,,,0,0.0,4.736198448394496,7.534003822186638,2.864766487072032,0.2015686033971305,5.673323267171493,0.0,2,Occasional Shoppers
29,43,59,1216.82,20.624067796610174,50,587,0.100511073253833,10.52542372881356,50.0,16,5,33,4,0.6779661016949152,1.0,0.0169491525423728,1,0.1841690635664528,0.3926940639269406,GROCERY,11,78,309,0.0289855072463768,709,0,,,,,,,,0,3.784189633918261,4.0943445622221,7.10481765409759,3.0738069442175746,0.0957746839545054,2.4445553542644327,0.0168071183163812,2,Occasional Shoppers
30,10,24,492.96,20.540000000000003,18,544,0.0441176470588235,2698.625,12627.0,4,11,9,4,0.7083333333333334,0.0,0.0,0,0.1420814479638009,0.4107142857142857,GROCERY,12,62,102,0.0357142857142857,711,0,,,,,,,,0,2.3978952727983707,3.218875824868201,6.202454542249622,3.069911671728242,0.0431721718652087,7.900868153457576,0.0,1,Churn Risk
31,0,41,3024.47,73.76756097560977,39,522,0.0785440613026819,4617.951219512195,18188.0,12,19,10,9,0.4878048780487805,2.0,0.048780487804878,1,0.2355867047128967,0.197704081632653,GROCERY,12,127,558,0.1594202898550724,710,0,35-44,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1,0.0,3.737669618283368,8.014821730296804,4.314384114118792,0.0756120402570516,8.4379229495418,0.0476280489892546,3,High-Value Deal Seekers
32,11,104,3006.32,28.906923076923075,94,572,0.1818181818181818,2540.105769230769,18482.0,16,48,40,16,0.2115384615384615,0.0,0.0,1,0.1000119746138187,0.2906976744186046,GROCERY,14,144,628,0.0344827586206896,711,0,,,,,,,,0,2.4849066497880004,4.653960350157523,8.008804595683664,3.398089994629369,0.1670540846631661,7.840354607495491,0.0,0,Premium Loyalists
33,14,43,1017.79,23.669534883720928,38,511,0.0841487279843444,530.7209302325581,8624.0,11,13,19,5,0.4651162790697674,0.0,0.0,0,0.1832065356959424,0.4632352941176471,GROCERY,10,64,218,0.1153846153846153,711,0,,,,,,,,0,2.70805020110221,3.784189633918261,6.926370927587951,3.2055690768459404,0.0807950965435793,6.276118784476086,0.0,1,Churn Risk
34,3,27,290.02,10.741481481481484,25,617,0.0437601296596434,378.3703703703704,6002.0,6,11,9,4,0.5925925925925926,0.0,0.0,0,0.1606031663338253,0.2903225806451613,GROCERY,7,47,88,0.0,709,0,,,,,,,,0,1.3862943611198906,3.332204510175204,5.673391993332133,2.463127997365417,0.0428297021989658,5.938512958432206,0.0,1,Churn Risk
35,32,53,949.93,17.923207547169813,41,600,0.0883333333333333,826.9056603773585,10214.0,7,19,26,5,0.7735849056603774,0.0,0.0,0,0.1169027963706678,0.34375,GROCERY,11,76,197,0.0333333333333333,707,0,,,,,,,,0,3.49650756146648,3.9889840465642745,6.857440453106524,2.940389081346219,0.0846474740602847,6.718899211151656,0.0,1,Churn Risk
36,2,186,3895.25,20.942204301075268,150,533,0.348968105065666,55.053763440860216,8399.0,84,79,23,5,0.6612903225806451,0.0,0.0,1,0.1522943167103731,0.2601626016260163,GROCERY,12,121,593,0.0090497737556561,708,0,,,,,,,,0,1.0986122886681098,5.231108616854587,8.267769831081546,3.08841191931154,0.2993399335552021,4.02631129161485,0.0,2,Occasional Shoppers
